names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
RL6107	TcLr 52 (Lr W)	RL 6107	10R	10.00	0.20	2.00	5MSS	5.00	0.87	4.35	5 R	5.00	0.20	1.00	TR	2.00	0.20	0.40	10RMR	10.00	0.27	2.70	;1	;	;1	6	12	9
RL6172	TcLr60	RL6172	5MRMS	5.00	0.53	2.65	20MSS	20.00	0.87	17.40	30 S	30.00	1.00	30.00	10RMR	10.00	0.27	2.70	20MS	20.00	0.80	16.00	;2	;1	;1	6	7	6.5
RL6050	TcLr34, LrT3	RL6050	30MS	30.00	0.80	24.00	5MSS	5.00	0.87	4.35	40 MS	40.00	0.80	32.00	-	NA	NA	NA	60MSS	60.00	0.87	52.20	3+	3+	3+	-	4	4
RL6077	TcLr67	RL6077	40MSS	40.00	0.87	34.80	20MRMS	20.00	0.53	10.60	50 MSS	50.00	0.87	43.50	70S	70.00	1.00	70.00	60MSS	60.00	0.87	52.20	3+	3+	3+	6	12	9
4-083	LrT3	4-083	80S	80.00	1.00	80.00	60S	60.00	1.00	60.00	70 S	70.00	1.00	70.00	80S	80.00	1.00	80.00	60MS	60.00	0.80	48.00	3+	3+	3+	6	4	5
4-090	LrT3	4-090	80S	80.00	1.00	80.00	50S	50.00	1.00	50.00	70 S	70.00	1.00	70.00	-	NA	NA	NA	70S	70.00	1.00	70.00	3+	3+	3+	-	12	12
4-095	Lr12+?	4-095	20MRMS	20.00	0.53	10.60	20MSS	20.00	0.87	17.40	40 MSS	40.00	0.87	34.80	30MSS	30.00	0.87	26.10	30MRMS	30.00	0.53	15.90	3	;2	3+	8	12	10
4-056	TcLrEch	4-056	80S	80.00	1.00	80.00	40S	40.00	1.00	40.00	60 MSS	60.00	0.87	52.20	80S	80.00	1.00	80.00	70SMS	70.00	0.93	65.10	0;	;	3+;	8	12	10
4024	TcLrEG	4-024	-	NA	NA	NA	50S	50.00	1.00	50.00	60 S	60.00	1.00	60.00	70S	70.00	1.00	70.00	70S	70.00	1.00	70.00	-	-	-	8	12	10
RL6083	Lr35	RL6083	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 MR	10.00	0.40	4.00	5R	5.00	0.20	1.00	10RMR	10.00	0.27	2.70	3+	3	3+	8	12	10
RL6093	Agropyron 	RL6093	20MR	20.00	0.40	8.00	20MRMS	20.00	0.53	10.60	40 MRMS	40.00	0.53	21.20	-	NA	NA	NA	50MRMS	50.00	0.53	26.50	3+	3+	3+	-	12	12
RL6094	Lr38	RL6094	50S	50.00	1.00	50.00	30MSS	30.00	0.87	26.10	60 MSS	60.00	0.87	52.20	20MRMS80S	40.00	0.69	27.47	5R	5.00	0.20	1.00	;	;	4	8	12	10
