names.geno	Entry	Lines	stp2012	stp2012.sev	stp2012.it	stp2012.coi	crk2012	crk2012.sev	crk2012.it	crk2012.coi	stp2013	stp2013.sev	stp2013.it	stp2013.coi	stp2014	stp2014.sev	stp2014.it	stp2014.coi	stp2015	stp2015.sev	stp2015.it	stp2015.coi	Race1	CA1.2	Field Mix	Flower2014	Hdg2015	Hdg_avg
WASCANA	Wascana		TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	-	NA	NA	NA	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	-	-	-	22	20	21
BRENNAN	Brennan	AgriPro	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	20 MR	20.00	0.40	8.00	30RMR	30.00	0.27	8.10	30MRMS	30.00	0.53	15.90	;	;	;12	2	12	7
FREYR	Freyr	AgriPro	20RMR	20.00	0.27	5.40	10MS	10.00	0.80	8.00	40 MS	40.00	0.80	32.00	30RMR	30.00	0.27	8.10	20MRMS	20.00	0.53	10.60	;	;1	3	2	4	3
GUNNER	GUNNER	AgriPro	20MR	20.00	0.40	8.00	20MS	20.00	0.80	16.00	5 MR	5.00	0.40	2.00	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	0;	0;	3+	4	4	4
HAGAR	HAGAR	AgriPro	20RMR	20.00	0.27	5.40	5MS	5.00	0.80	4.00	30 MR	30.00	0.40	12.00	30MRMS	30.00	0.53	15.90	20RMR	20.00	0.27	5.40	;2	0;	2+3	2	4	3
HAMER	HAMER	AgriPro	40MRMS	40.00	0.53	21.20	TR	2.00	0.20	0.40	40 MR	40.00	0.40	16.00	50MRMS	50.00	0.53	26.50	20RMR	20.00	0.27	5.40	;	;	2+3	4	4	4
HANNA	Hanna	AgriPro	50MS	50.00	0.80	40.00	30MS	30.00	0.80	24.00	50 MRMS	50.00	0.53	26.50	50MS	50.00	0.80	40.00	60M	60.00	0.60	36.00	;	;	;22+	2	4	3
IVAN	IVAN	AgriPro	TR	2.00	0.20	0.40	5MR	5.00	0.40	2.00	10 RMR	10.00	0.27	2.70	30MRMS	30.00	0.53	15.90	5RMR	5.00	0.27	1.35	0;	0;	3;	2	12	7
JENNA	Jenna	AgriPro	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	30 MR	30.00	0.40	12.00	30MRMS	30.00	0.53	15.90	10MRMS	10.00	0.53	5.30	;	0;	;123	2	12	7
KELBY	Kelby	AgriPro	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	20 MR	20.00	0.40	8.00	30MRMS	30.00	0.53	15.90	10RMR	10.00	0.27	2.70	;1	0;	22+	4	6	5
KUNTZ	Kuntz	AgriPro	20MRMS	20.00	0.53	10.60	10MSS	10.00	0.87	8.70	30 MR	30.00	0.40	12.00	20RMR	20.00	0.27	5.40	10RMR	10.00	0.27	2.70	;	;	2+	2	4	3
LARS	LARS	AgriPro	20RMR	20.00	0.27	5.40	5MS	5.00	0.80	4.00	30 MR	30.00	0.40	12.00	40MS	40.00	0.80	32.00	60MRMS	60.00	0.53	31.80	;	;	3	2	4	3
NORA	NORA	AgriPro	40RMR	40.00	0.27	10.80	TR	2.00	0.20	0.40	20 RMR	20.00	0.27	5.40	40RMR	40.00	0.27	10.80	30RMR	30.00	0.27	8.10	0;	0;	3;	2	4	3
NORPRO	Norpro	AgriPro	-	NA	NA	NA	5MS	5.00	0.80	4.00	10 MR	10.00	0.40	4.00	-	NA	NA	NA	20MS	20.00	0.80	16.00	0;	0;	;2+3	-	4	4
SY_SOREN	SY-Soren	AgriPro	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	10 MR	10.00	0.40	4.00	30RMR	30.00	0.27	8.10	20RMR	20.00	0.27	5.40	;1	;	;22+	4	4	4
AC_BARRIE	AC BARRIE	Canada	50MRMS	50.00	0.53	26.50	40MS	40.00	0.80	32.00	40 MR	40.00	0.40	16.00	60MRMS	60.00	0.53	31.80	70MSS	70.00	0.87	60.90	;	;2	2+	6	4	5
CDC_BOUNTY	CDC BOUNTY	Canada	30MS	30.00	0.80	24.00	5S	5.00	1.00	5.00	40 MS	40.00	0.80	32.00	40MS	40.00	0.80	32.00	60MS	60.00	0.80	48.00	3+	3+	3+	6	12	9
ALBANY	Albany	Limagrain	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	-	;1	3+;	10	5	7.5
BANTON	Banton	Limagrain	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	0;	0;	2+3;	4	5	4.5
BUCK_PRONTO	Buck Pronto	Limagrain	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	20 MR	20.00	0.40	8.00	10MRMS	10.00	0.53	5.30	20MRMS	20.00	0.53	10.60	0	0;	3+;	4	5	4.5
HAT_TRICK	Hat Trick	Limagrain	10MS	10.00	0.80	8.00	5S	5.00	1.00	5.00	40 MS	40.00	0.80	32.00	10MSS	10.00	0.87	8.70	10MS	10.00	0.80	8.00	-	-	0;	6	6	6
BACUP	BACUP	MN	40MS	40.00	0.80	32.00	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	20MRMS	20.00	0.53	10.60	70MSS	70.00	0.87	60.90	;1-	;	33+;	8	0	4
CHRIS	CHRIS	MN	30MS	30.00	0.80	24.00	10MRMS	10.00	0.53	5.30	30 MRMS	30.00	0.53	15.90	40MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	3+	;2	3+	6	12	9
ERA	Era	MN	30MS	30.00	0.80	24.00	5RMR	5.00	0.27	1.35	40 MS	40.00	0.80	32.00	50MRMS	50.00	0.53	26.50	30MRMS	30.00	0.53	15.90	;	;12	3+	8	12	10
HJ-98	HJ98	MN	30MS	30.00	0.80	24.00	10MR	10.00	0.40	4.00	5 MR	5.00	0.40	2.00	20M	20.00	0.60	12.00	20MS	20.00	0.80	16.00	3+	;1	3+	4	7	5.5
MCVEY	MCVEY	MN	10MS	10.00	0.80	8.00	10MRMS	10.00	0.53	5.30	20 RMR	20.00	0.27	5.40	20RMR	20.00	0.27	5.40	20MRMS	20.00	0.53	10.60	22+	;1	3+	8	12	10
MN01333-A	MN01333-A	MN	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	;	;2	;2	4	1	2.5
MN02072-7	MN02072-7	MN	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	10RMR	10.00	0.27	2.70	10MRMS	10.00	0.53	5.30	;	0;	-	4	1	2.5
MN03148	MN03148	MN	10RMR	10.00	0.27	2.70	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	40MRMS	40.00	0.53	21.20	30RMR	30.00	0.27	8.10	;	;	;2	2	4	3
MN05209	MN05209	MN	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10MRMMS	10.00	0.55	5.50	;1	;12-	3+;	4	4	4
MN06028	MN06028	MN	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	20RMR	20.00	0.27	5.40	20MRMS	20.00	0.53	10.60	;	;	;2+	4	4	4
MN06075-4	MN06075-4	MN	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	0	0;	0;	4	4	4
MN06113-8	MN06113-8	MN	-	NA	NA	NA	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	-	-	0;	4	0	2
MN07098-6	MN07098-6	MN	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	30 MS	30.00	0.80	24.00	50S	50.00	1.00	50.00	50MS	50.00	0.80	40.00	0	0;	;23	6	4	5
MN97369	MN97369	MN	40MS	40.00	0.80	32.00	5S	5.00	1.00	5.00	40 MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	20RMR	20.00	0.27	5.40	-	;	;2+	4	4	4
MN97448	MN97448	MN	20MS	20.00	0.80	16.00	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	10MRMS	10.00	0.53	5.30	10MS	10.00	0.80	8.00	0;	;	3+	4	4	4
MN97518	MN97518	MN	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	10 MR	10.00	0.40	4.00	10RMR	10.00	0.27	2.70	20MRMS	20.00	0.53	10.60	3+	3	3+	4	4	4
MN97695	MN97695	MN	40MS	40.00	0.80	32.00	-	NA	NA	NA	40 MRMS	40.00	0.53	21.20	30RMR	30.00	0.27	8.10	5RMR	5.00	0.27	1.35	;	;2	2+	2	0	1
MN98389	MN98389	MN	60S	60.00	1.00	60.00	30S	30.00	1.00	30.00	40 MS	40.00	0.80	32.00	50MS	50.00	0.80	40.00	40MS	40.00	0.80	32.00	0	;2	3+	2	4	3
MN98550-5	MN98550-5	MN	50MS	50.00	0.80	40.00	-	NA	NA	NA	70 S	70.00	1.00	70.00	60S	60.00	1.00	60.00	70MSS	70.00	0.87	60.90	3+	;22+	3+	4	1	2.5
MN99112-10-2	MN99112-10-2	MN	30MS	30.00	0.80	24.00	TR	2.00	0.20	0.40	40 MR	40.00	0.40	16.00	40RMR	40.00	0.27	10.80	20MRMS	20.00	0.53	10.60	3+	;22+	3+	4	1	2.5
MN99192-10	MN99192-10	MN	-	NA	NA	NA	-	NA	NA	NA	40 MR	40.00	0.40	16.00	40RMR	40.00	0.27	10.80	20MRMS	20.00	0.53	10.60	-	-	3+	4	1	2.5
MN99225-1-3	MN99225-1-3	MN	20MRMS	20.00	0.53	10.60	10MRMS	10.00	0.53	5.30	50 MS	50.00	0.80	40.00	50MRMS	50.00	0.53	26.50	50MSS	50.00	0.87	43.50	;	;2	;2+	4	4	4
MN99394-1	MN99394-1	MN	-	NA	NA	NA	-	NA	NA	NA	-	NA	NA	NA	-	NA	NA	NA	30RMR	30.00	0.27	8.10	-	-	-	-	4	4
NORDEN	Norden	MN	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	10RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	;1-	22+	;22+	6	4	5
ROLLAG	Rollag	MN	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	20 RMR	20.00	0.27	5.40	40MRMS	40.00	0.53	21.20	20MRMS	20.00	0.53	10.60	;	;1	;3	4	4	4
SABIN	Sabin	MN	10MS	10.00	0.80	8.00	5MS	5.00	0.80	4.00	20 RMR	20.00	0.27	5.40	30MRMS	30.00	0.53	15.90	20RMR	20.00	0.27	5.40	3+	;1	3+	6	4	5
TOM	Tom	MN	5MS	5.00	0.80	4.00	5MS	5.00	0.80	4.00	20 RMR	20.00	0.27	5.40	10RMR	10.00	0.27	2.70	20RMR	20.00	0.27	5.40	0	0;	;3	6	4	5
VERDE	VERDE	MN	10RMR	10.00	0.27	2.70	10MRMS	10.00	0.53	5.30	20 RMR	20.00	0.27	5.40	40MRMS	40.00	0.53	21.20	10RMR	10.00	0.27	2.70	;	;	22+	4	5	4.5
2375	2375	NDSU	50MRMS	50.00	0.53	26.50	10MRMS	10.00	0.53	5.30	60 MS	60.00	0.80	48.00	30MRMS	30.00	0.53	15.90	20MRMS	20.00	0.53	10.60	0;	0;	4	6	4	5
ALSEN	Alsen	NDSU	5MS	5.00	0.80	4.00	5MS	5.00	0.80	4.00	20 MRMS	20.00	0.53	10.60	40MS	40.00	0.80	32.00	10MS	10.00	0.80	8.00	0	;	3	4	4	4
ARGENT	ARGENT	NDSU	5R	5.00	0.20	1.00	40S	40.00	1.00	40.00	TR	2.00	0.20	0.40	40MS	40.00	0.80	32.00	5R	5.00	0.20	1.00	;	;2	;22+	4	4	4
BARLOW	Barlow	NDSU	50MRMS	50.00	0.53	26.50	20S	20.00	1.00	20.00	40 MS	40.00	0.80	32.00	60MS	60.00	0.80	48.00	40MS	40.00	0.80	32.00	0	0;	2+	2	0	1
BUTTE	Butte	NDSU	60MS	60.00	0.80	48.00	20S	20.00	1.00	20.00	60 MS	60.00	0.80	48.00	60MS	60.00	0.80	48.00	40MS	40.00	0.80	32.00	;	;1	3+	2	4	3
DAPPS	Dapps	NDSU	-	NA	NA	NA	30S	30.00	1.00	30.00	20 RMR	20.00	0.27	5.40	10RMR	10.00	0.27	2.70	20MRMS	20.00	0.53	10.60	0;	0;	2+	4	4	4
GRANDIN	GRANDIN	NDSU	80S	80.00	1.00	80.00	30S	30.00	1.00	30.00	60 MS	60.00	0.80	48.00	60S	60.00	1.00	60.00	50MSS	50.00	0.87	43.50	0	;	3+	2	4	3
HOWARD	Howard	NDSU	5S	5.00	1.00	5.00	20S	20.00	1.00	20.00	40 MS	40.00	0.80	32.00	40MRMS	40.00	0.53	21.20	30MS	30.00	0.80	24.00	0	;	3	2	4	3
KEENE	KEENE	NDSU	60S	60.00	1.00	60.00	30S	30.00	1.00	30.00	30 RMR	30.00	0.27	8.10	70MSS	70.00	0.87	60.90	70S	70.00	1.00	70.00	0	;	2+3	2	4	3
KULM	KULM	NDSU	30MRMS	30.00	0.53	15.90	20S	20.00	1.00	20.00	40 MS	40.00	0.80	32.00	30MRMS	30.00	0.53	15.90	60MSS	60.00	0.87	52.20	0;	0;	2+3	2	1	1.5
PARSHALL	Parshall	NDSU	30MRMS	30.00	0.53	15.90	20MR	20.00	0.40	8.00	10 RMR	10.00	0.27	2.70	30MRMS	30.00	0.53	15.90	50MRMS	50.00	0.53	26.50	0	;	;2+3	2	1	1.5
PROSPER	Prosper	NDSU	5S	5.00	1.00	5.00	20S	20.00	1.00	20.00	40 MS	40.00	0.80	32.00	60S	60.00	1.00	60.00	50S	50.00	1.00	50.00	0	;1	3	6	4	5
REEDER	Reeder	NDSU	-	NA	NA	NA	10S	10.00	1.00	10.00	30 MRMS	30.00	0.53	15.90	30MS	30.00	0.80	24.00	20MS	20.00	0.80	16.00	;	;	3	4	4	4
STEELE_ND	Steele-ND	NDSU	5S	5.00	1.00	5.00	10S	10.00	1.00	10.00	40 MS	40.00	0.80	32.00	50S	50.00	1.00	50.00	30MS	30.00	0.80	24.00	0	;	3;	4	1	2.5
STOA	Stoa	NDSU	-	NA	NA	NA	-	NA	NA	NA	30 MRMS	30.00	0.53	15.90	40MS	40.00	0.80	32.00	50MSS	50.00	0.87	43.50	0;	-	-	6	4	5
VELVA	Velva	NDSU	5S	5.00	1.00	5.00	30S	30.00	1.00	30.00	30 MS	30.00	0.80	24.00	30MS	30.00	0.80	24.00	50MSS	50.00	0.87	43.50	0;	0;	2+3	4	5	4.5
WALDRON	Waldron	NDSU	30S	30.00	1.00	30.00	30MRMS	30.00	0.53	15.90	10 R	10.00	0.20	2.00	5M	5.00	0.60	3.00	10RMR	10.00	0.27	2.70	0	;	3+	6	5	5.5
FBC_DYLAN	FBC-Dylan (KW 175)	North Dakota Farmer Breeder club	40MRMS	40.00	0.53	21.20	10MS	10.00	0.80	8.00	30 MR	30.00	0.40	12.00	40MS	40.00	0.80	32.00	20RMR	20.00	0.27	5.40	0	0;	3+	6	4	5
AMAZON	AMAZON	North Star Genetics	30MS	30.00	0.80	24.00	5S	5.00	1.00	5.00	30 MRMS	30.00	0.53	15.90	50MS	50.00	0.80	40.00	40MS	40.00	0.80	32.00	0;	0;	3+	6	12	9
AURORA	AURORA	North Star Genetics	20RMR	20.00	0.27	5.40	10MR	10.00	0.40	4.00	30 RMR	30.00	0.27	8.10	60MRMS	60.00	0.53	31.80	20RMR	20.00	0.27	5.40	0;	0;	;2+	4	5	4.5
BAKKER_GOLD	Bakker Gold	North Star Genetics	20MS	20.00	0.80	16.00	20MRMS	20.00	0.53	10.60	30 RMR	30.00	0.27	8.10	30RMR	30.00	0.27	8.10	20RMR	20.00	0.27	5.40	3+	;2	;3	6	12	9
DANDY	DANDY	North Star Genetics	40MRMS	40.00	0.53	21.20	20MR	20.00	0.40	8.00	40 MR	40.00	0.40	16.00	40MRMS	40.00	0.53	21.20	60RMR	60.00	0.27	16.20	;1-	0;	;2+3	2	1	1.5
FIREBALL	Fireball	North Star Genetics	-	NA	NA	NA	10S	10.00	1.00	10.00	5 R	5.00	0.20	1.00	40MSS	40.00	0.87	34.80	5RMR	5.00	0.27	1.35	0	0;	3+	6	4	5
HOTSHOT	Hotshot	North Star Genetics	30MS	30.00	0.80	24.00	5MRMS	5.00	0.53	2.65	50 MS	50.00	0.80	40.00	30MS	30.00	0.80	24.00	10MRMS	10.00	0.53	5.30	3+	;1	3+	4	12	8
MERCURY	MERCURY	North Star Genetics	10R	10.00	0.20	2.00	10MRMS	10.00	0.53	5.30	30 MR	30.00	0.40	12.00	40MRMS	40.00	0.53	21.20	5R	5.00	0.20	1.00	0;	;	;2	4	14	9
NORWELL	Norwell	North Star Genetics	10MS	10.00	0.80	8.00	5MS	5.00	0.80	4.00	30 MRMS	30.00	0.53	15.90	40MRMS	40.00	0.53	21.20	30MS	30.00	0.80	24.00	3+	;/3+	3+	6	5	5.5
POLARIS	Polaris	North Star Genetics	30MRMS	30.00	0.53	15.90	10MRMS	10.00	0.53	5.30	30 MRMS	30.00	0.53	15.90	30MS	30.00	0.80	24.00	10RMR	10.00	0.27	2.70	3+	;1	3+;	6	12	9
SATURN	Saturn	North Star Genetics	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	20 RMR	20.00	0.27	5.40	20MRMS	20.00	0.53	10.60	10MRMS	10.00	0.53	5.30	0;	0;	0;	10	12	11
BRICK	Brick	SDSU	10RMR	10.00	0.27	2.70	5MS	5.00	0.80	4.00	20 MR	20.00	0.40	8.00	20MRMS	20.00	0.53	10.60	10MRMS	10.00	0.53	5.30	0;	0;	2	2	0	1
EMBER	EMBER	SDSU	40MRMS	40.00	0.53	21.20	40S	40.00	1.00	40.00	30 MRMS	30.00	0.53	15.90	10MRMS	10.00	0.53	5.30	60MS	60.00	0.80	48.00	0;	;12	2	2	4	3
FORGE	FORGE	SDSU	40MRMS	40.00	0.53	21.20	40S	40.00	1.00	40.00	50 MS	50.00	0.80	40.00	40RMR	40.00	0.27	10.80	60MS	60.00	0.80	48.00	;	;	22+	2	0	1
GRANGER	Granger	SDSU	-	NA	NA	NA	TR	2.00	0.20	0.40	20 RMR	20.00	0.27	5.40	-	NA	NA	NA	5RMR	5.00	0.27	1.35	0	0;	;2	-	4	4
INGOT	INGOT	SDSU	50MRMS	50.00	0.53	26.50	50S	50.00	1.00	50.00	50 MS	50.00	0.80	40.00	70MSS	70.00	0.87	60.90	70S	70.00	1.00	70.00	;	;	22+	4	0	2
RUSS	RUSS	SDSU	TR	2.00	0.20	0.40	20S	20.00	1.00	20.00	5 R	5.00	0.20	1.00	5RMR	5.00	0.27	1.35	5RMR	5.00	0.27	1.35	0	;	3+	2	4	3
SD3997	SD3997	SDSU	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	20 RMR	20.00	0.27	5.40	20MRMS	20.00	0.53	10.60	10RMR	10.00	0.27	2.70	0	0;	;22+	2	4	3
SD4023	SD4023	SDSU	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	10 R	10.00	0.20	2.00	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	0	0;	;23	4	4	4
SELECT	Select	SDSU	10RMR	10.00	0.27	2.70	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	10RMR	10.00	0.27	2.70	0;	;	0;	2	0	1
SHARP	SHARP	SDSU	30MRMS	30.00	0.53	15.90	30MRMS	30.00	0.53	15.90	40 MR	40.00	0.40	16.00	30RMR	30.00	0.27	8.10	50 MRMS	50.00	0.53	26.50	0;	;	2	2	4	3
TRAVERSE	Traverse	SDSU	TR	2.00	0.20	0.40	5R	5.00	0.20	1.00	10 RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	5R	5.00	0.20	1.00	0;	;	-	2	4	3
WALWORTH	Walworth	SDSU	30MRMS	30.00	0.53	15.90	20MRMS	20.00	0.53	10.60	50 MRMS	50.00	0.53	26.50	30MRMS	30.00	0.53	15.90	20MRMS	20.00	0.53	10.60	0	0;	3+	2	0	1
CROMWELL	Cromwell	Thunder Seed	40MRMS	40.00	0.53	21.20	20MRMS	20.00	0.53	10.60	40 MR	40.00	0.40	16.00	40MRMS	40.00	0.53	21.20	50RMR	50.00	0.27	13.50	0;	;	2+	4	4	4
BIGG_REDD	Bigg Red	Westbred	30MRMS	30.00	0.53	15.90	10MSS	10.00	0.87	8.70	60 MRMS	60.00	0.53	31.80	40RMR	40.00	0.27	10.80	30MRMS/50S	36.67	0.69	25.18	0;	0;	3+	6	4	5
BLADE	Blade	Westbred	5MRMS	5.00	0.53	2.65	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	30RMR	30.00	0.27	8.10	5RMR	5.00	0.27	1.35	;	;	3+;	4	4	4
BREAKER	Breaker	Westbred	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	40RMR	40.00	0.27	10.80	10RMR	10.00	0.27	2.70	-	-	;2	4	4	4
BROGAN	Brogan	Westbred	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	10 RMR	10.00	0.27	2.70	10MRMS	10.00	0.53	5.30	20MRMS	20.00	0.53	10.60	0	;	;22+	4	4	4
EDGE	Edge	Westbred	20RMR	20.00	0.27	5.40	5MRMS	5.00	0.53	2.65	50 MS	50.00	0.80	40.00	40MRMS	40.00	0.53	21.20	70S	70.00	1.00	70.00	;	0;	;2	2	4	3
EXPRESS	Express	Westbred	-	NA	NA	NA	10MRMS	10.00	0.53	5.30	20 MRMS	20.00	0.53	10.60	50MS	50.00	0.80	40.00	50MS	50.00	0.80	40.00	0;	0;	0;	12	5	8.5
GRANITE	Granite	Westbred	TR	2.00	0.20	0.40	30MRMS	30.00	0.53	15.90	50 MRMS	50.00	0.53	26.50	20MRMS	20.00	0.53	10.60	20MRMS	20.00	0.53	10.60	0	0;	;2	6	7	6.5
KEYSTONE	KEYSTONE	Westbred	5RMR	5.00	0.27	1.35	10MRMS	10.00	0.53	5.30	40 RMR	40.00	0.27	10.80	30MRMS	30.00	0.53	15.90	30MRMS	30.00	0.53	15.90	0;	;1	-	6	5	5.5
PIVOT	Pivot	Westbred	5RMR	5.00	0.27	1.35	5MR	5.00	0.40	2.00	30 RMR	30.00	0.27	8.10	20RMR	20.00	0.27	5.40	30RMR	30.00	0.27	8.10	;1	;	;2	4	4	4
RUSH	Rush	Westbred	20MR	20.00	0.40	8.00	10MRMS	10.00	0.53	5.30	30 RMR	30.00	0.27	8.10	40MRMS	40.00	0.53	21.20	20RMR	20.00	0.27	5.40	0;	;1	2	2	4	3
SAMSON	Samson	Westbred	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	2O MRMS	NA	NA	NA	40MRMS	40.00	0.53	21.20	10MRMS	10.00	0.53	5.30	-	-	3;	2	4	3
SHARPSHOOTER	SHARPSHOOTER	Westbred	40MS	40.00	0.80	32.00	40MSS	40.00	0.87	34.80	-	NA	NA	NA	30MRMS	30.00	0.53	15.90	-	NA	NA	NA	0	0;	-	4	-	4
TROOPER	Trooper	Westbred	-	NA	NA	NA	-	NA	NA	NA	40 RMR	40.00	0.27	10.80	40MRMS	40.00	0.53	21.20	40MRMS	40.00	0.53	21.20	0;	0;	;2	4	4	4
VANTAGE	Vantage	Westbred	20MRMS	20.00	0.53	10.60	5S	5.00	1.00	5.00	40 RMR	40.00	0.27	10.80	20MRMS	20.00	0.53	10.60	10RMR	10.00	0.27	2.70	-	-	;2	6	12	9
WB_DIGGER	WB-Digger	Westbred	5RMR	5.00	0.27	1.35	5MR	5.00	0.40	2.00	30 MR	30.00	0.40	12.00	20MRMS	20.00	0.53	10.60	30RMR	30.00	0.27	8.10	-	-	2	8	6	7
WB_LYN	WB-Lyn	Westbred	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	5RMR	5.00	0.27	1.35	5R	5.00	0.20	1.00	0;	0;	2+	6	6	6
WB_MAYVILLE	WB-Mayville	Westbred	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	30 MR	30.00	0.40	12.00	20MRMS	20.00	0.53	10.60	10MRMS	10.00	0.53	5.30	-	-	3+	4	4	4
03S0253-7	03S0253-7	Syngenta Exp	20RMR	20.00	0.27	5.40	5MR	5.00	0.40	2.00	20 RMR	20.00	0.27	5.40	40MRMS	40.00	0.53	21.20	20RMR	20.00	0.27	5.40	0;	;	2+	4	4	4
04S0258-12	04S0258-12	Syngenta Exp	5RMR	5.00	0.27	1.35	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	20MRMS	20.00	0.53	10.60	5RMR	5.00	0.27	1.35	0	0;	0;	6	4	5
05S0261-10	05S0261-10	Syngenta Exp	50MRMS	50.00	0.53	26.50	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	10RMR	10.00	0.27	2.70	5RMR	5.00	0.27	1.35	0;	;	;2	8	4	6
04S0198-16	04S0198-16	Syngenta Exp	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	10 R	10.00	0.20	2.00	20RMR	20.00	0.27	5.40	10RMR	10.00	0.27	2.70	0;	;	;2	6	4	5
04S0282-7	04S0282-7	Syngenta Exp	10RMR	10.00	0.27	2.70	5MR	5.00	0.40	2.00	20 R	20.00	0.20	4.00	30RMR	30.00	0.27	8.10	10RMR	10.00	0.27	2.70	;1	;	2	6	4	5
05S0045-12	05S0045-12	Syngenta Exp	5S	5.00	1.00	5.00	10MRMS	10.00	0.53	5.30	20 MR	20.00	0.40	8.00	30MS	30.00	0.80	24.00	5MS	5.00	0.80	4.00	0;	0;	;22+	6	12	9
05S0157-4	05S0157-4	Syngenta Exp	5MS	5.00	0.80	4.00	5MRMS	5.00	0.53	2.65	5 R	5.00	0.20	1.00	20MRMS	20.00	0.53	10.60	10MS	10.00	0.80	8.00	0	0;	2+3	4	4	4
05S0204-12	05S0204-12	Syngenta Exp	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	0;	0;	;2	6	4	5
05S0242-6	05S0242-6	Syngenta Exp	TR	2.00	0.20	0.40	5MR	5.00	0.40	2.00	5 R	5.00	0.20	1.00	10RMR	10.00	0.27	2.70	TR	2.00	0.20	0.40	0;	0;	;3	6	4	5
05S0271-25	05S0271-25	Syngenta Exp	TR	2.00	0.20	0.40	5MR	5.00	0.40	2.00	5 R	5.00	0.20	1.00	10MRMS	10.00	0.53	5.30	TR	2.00	0.20	0.40	0;	0;	0;	6	4	5
06S0040-10	06S0040-10	Syngenta Exp	5R	5.00	0.20	1.00	TR	2.00	0.20	0.40	5 R	5.00	0.20	1.00	20RMR	20.00	0.27	5.40	TR	2.00	0.20	0.40	;1	;	2+	8	4	6
06S0040-14	06S0040-14	Syngenta Exp	20RMR	20.00	0.27	5.40	5MR	5.00	0.40	2.00	10 MR	10.00	0.40	4.00	10RMR	10.00	0.27	2.70	5R	5.00	0.20	1.00	;2	;	2	6	4	5
06S0044-18	06S0044-18	Syngenta Exp	TR	2.00	0.20	0.40	TR	2.00	0.20	0.40	30 MR	30.00	0.40	12.00	30MR	30.00	0.40	12.00	5R	5.00	0.20	1.00	;	0;	;2	6	4	5
06S0058-3	06S0058-3	Syngenta Exp	5RMR	5.00	0.27	1.35	10MS	10.00	0.80	8.00	20 RMR	20.00	0.27	5.40	30MRMS	30.00	0.53	15.90	40MS	40.00	0.80	32.00	0	0;	2	8	6	7
